,wavelength (nm),excitation spectra (10e6.m²/mol)
142,542.0,0.27737177503123395
143,543.0,0.2796694409186177
144,544.0,0.2819431043134187
145,545.0,0.2827545887935589
146,546.0,0.2853991256374106
147,547.0,0.2839401551736996
148,548.0,0.28393827432816426
149,549.0,0.28293396015063454
150,550.0,0.2848716562187676
151,551.0,0.2797028210261646
152,552.0,0.28339367421233463
153,553.0,0.2762335272487155
154,554.0,0.2752043490802774
155,555.0,0.2784198685809228
156,556.0,0.28098845344267
157,557.0,0.28421451518541
158,558.0,0.2835889477608613
159,559.0,0.2873834921126978
160,560.0,0.2892316387173486
161,561.0,0.28890535866619904
162,562.0,0.29314280808889487
163,563.0,0.2973638457203768
164,564.0,0.30431890033997044
165,565.0,0.3139698834602521
166,566.0,0.3153001301848575
167,567.0,0.33243401635111175
168,568.0,0.3350542463026942
169,569.0,0.3436701880189727
170,570.0,0.35168400627634977
171,571.0,0.3472190067417722
172,572.0,0.3493381337375206
173,573.0,0.3569632408685745
174,574.0,0.3553541851319006
175,575.0,0.36235567950281633
176,576.0,0.36671782266840575
177,577.0,0.3720683894146955
178,578.0,0.37554954902076526
179,579.0,0.3761005897121984
180,580.0,0.3795179201561218
181,581.0,0.3784391014114414
182,582.0,0.3765910227123348
183,583.0,0.3742907057752928
184,584.0,0.38286406428599473
185,585.0,0.3827850796297133
186,586.0,0.3899992408228323
187,587.0,0.39001840916882163
188,588.0,0.3941539744868978
189,589.0,0.4043147035116992
190,590.0,0.41177940943190977
191,591.0,0.4101212631584123
192,592.0,0.4118295714423165
193,593.0,0.4176382834427549
194,594.0,0.4267496738245795
195,595.0,0.43336960867993995
196,596.0,0.44097360051883433
197,597.0,0.4408493427315855
198,598.0,0.45106390976547117
199,599.0,0.45511278389913734
200,600.0,0.4582345848852199
201,601.0,0.46002764293257076
202,602.0,0.4677560511183218
203,603.0,0.4697799493276814
204,604.0,0.47283377962272044
205,605.0,0.47120537215306535
206,606.0,0.4735460434385082
207,607.0,0.47110010592705404
208,608.0,0.4823799954158933
209,609.0,0.47538576792750714
210,610.0,0.4822971105880992
211,611.0,0.47586148015745583
212,612.0,0.4797410284054132
213,613.0,0.4819843781490225
214,614.0,0.48294330572978583
215,615.0,0.4771842270631935
216,616.0,0.47937410832525984
217,617.0,0.47615667438880555
218,618.0,0.47599252881937876
219,619.0,0.4807000329072495
220,620.0,0.47979311176233286
221,621.0,0.4861894412026686
222,622.0,0.4888517241491759
223,623.0,0.4913022785279565
224,624.0,0.48699291463425304
225,625.0,0.4917649038760798
226,626.0,0.4932558762763435
227,627.0,0.49334574061332254
228,628.0,0.4899833760883744
229,629.0,0.4895582026938636
230,630.0,0.4969613981976167
231,631.0,0.49420546647281915
232,632.0,0.5007031135338819
233,633.0,0.5054989704544408
234,634.0,0.5102538752638784
235,635.0,0.5146875962314769
236,636.0,0.5133367901800596
237,637.0,0.5208957608463404
238,638.0,0.5437439693307462
239,639.0,0.5661001142011128
240,640.0,0.5839491514040553
241,641.0,0.6057653747254869
242,642.0,0.6331795415354667
243,643.0,0.6468184307115198
244,644.0,0.6866187572207035
245,645.0,0.717055913310219
246,646.0,0.7597877815319927
247,647.0,0.7958195168233166
248,648.0,0.8089088110826497
249,649.0,0.8332583082627516
250,650.0,0.8581005809094399
